State/UT,literacy rate (%),,,,,,,,
,rural,,,urban,,,rural + urban,,
,male,female,persons,male,female,persons,male,female,persons
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
Andhra Pradesh,69.6,50.5,60,87.3,75.1,81.1,75.4,58.2,66.8
Arunachal Pradesh,75.8,70,72.9,95.1,89.4,92.2,78.9,73.2,76.3
Assam,88.7,81.1,85.1,93.8,89.1,91.6,89.4,82.1,85.9
Bihar,75.7,54.2,65.5,86.2,72.2,79.5,76.9,56.2,67
Chhattisgarh,80.3,60,70.4,91.6,76.2,84.3,82.7,63.1,73.1
Delhi,95.8,79.1,88.9,93.3,86.5,90.2,93.5,86.1,90.3
Goa,96.9,88.2,92.2,94.3,86.1,90.4,95.1,87.1,91.1
Gujarat,84.1,63.4,74,94,82.2,88.5,88.4,70.8,79.9
Haryana,83.2,62,72.9,90.9,76.6,84.4,85.7,66.8,76.6
Himachal Pradesh,92,76.2,84.1,98.7,87.2,93.2,92.8,77.4,85.1
Jammu & Kashmir,83.1,62.5,73.3,85.4,70.6,78.3,83.5,64.2,74.4
Jharkhand,77,55.2,66.4,89.5,77.5,83.7,79.6,59.9,70.3
Karnataka,76.3,60.7,68.5,91.7,81.5,86.8,82.5,68.6,75.5
Kerala,97.1,91.9,94.4,97.6,94.8,96.1,97.4,93.2,95.2
Madhya Pradesh,77.4,54.3,66.2,92.4,78.6,86,81.4,60.7,71.3
Maharashtra,87.2,70.3,78.8,93.9,86,90.2,90.2,77,83.8
Manipur,92.1,81.4,87,96.5,87.5,92,93.5,83.5,88.6
Meghalaya,93.2,92.5,92.9,99.6,94.6,96.9,94.3,93,93.6
Mizoram,95.5,91.1,93.2,99.6,99.4,99.6,97.4,94.8,96.2
Nagaland,97.5,93.3,95.4,98.4,95,96.7,97.6,93.7,95.7
Odisha,81.3,65.8,73.6,91.2,77.2,84.1,83.2,67.8,75.5
Punjab,79.9,66.8,73.6,91.2,85,88.3,84,73.4,79
Rajasthan,77.7,49.4,63.7,88.2,68,78.6,80.7,54.1,67.6
Sikkim,90,87.6,88.8,94.3,92.9,93.5,90.7,88.5,89.7
Tamil Nadu,81.9,64.7,73,92.1,82.7,87.4,86.9,73.7,80.2
Telangana,68.8,47,58,89.8,76.8,83.4,76.8,58.3,67.7
Tripura,91,83.6,87.5,93.8,87,90.5,91.7,84.4,88.2
Uttar Pradesh,77.8,56.5,67.6,84.4,72.5,78.8,79.2,60.1,70.1
Uttarakhand,91.5,74.6,83.7,94.3,85.4,90.1,92.1,77.2,85.1
West Bengal,78.7,68.3,73.6,91.4,85,88.4,82.7,73.3,78.3
A & N Islands,82.9,78.9,81,93.8,89.1,91.5,87.2,82.9,85
Chandigarh,91.5,66.1,80.2,96.6,93.7,95.4,96.4,92.6,94.7
Dadra & Nagar  Haveli,79.4,57.2,68.2,94.3,86.4,91.1,87,69.6,79
Daman & Diu,89,73.2,81.1,86.1,95.9,89.4,86.4,90,87.8
Lakshadweep,98.7,92.4,95.7,95.4,87.9,91.7,96.1,88.7,92.7
Puducherry,93.4,77.8,85.9,94.7,84.2,89.4,94.4,82,88.4
all-India,79.8,61.3,70.8,91.1,80.8,85.9,83.2,67.1,75.4
